# image id, class 0, class 1, class 2, class 3, class 4, class 5, class 6, class 7, class 8, class 9, class 10, class 11, class 12, class 13, class 14
0.000000000000000000e+00,4.325831890106201172e+00,5.799357891082763672e+00,-6.560435891151428223e-01,1.150015449523925781e+01,-2.594301795959472656e+01,-2.558347511291503906e+01,2.173144340515136719e+01,-1.000872993469238281e+01,-9.204905509948730469e+00,-6.239039421081542969e+00,2.180696487426757812e+01,-1.073034381866455078e+01,3.475407409667968750e+01,-2.672452926635742188e+01,-2.967989158630371094e+01
1.000000000000000000e+00,-2.092717647552490234e+00,4.757646942138671875e+01,-1.674444794654846191e+00,1.183915972709655762e+00,-1.291156959533691406e+01,-1.828070068359375000e+01,-3.352075958251953125e+01,1.732708740234375000e+01,-3.506707906723022461e+00,1.216926765441894531e+01,-1.527743625640869141e+01,1.349552440643310547e+01,4.948215103149414062e+01,-4.565679550170898438e+00,-1.145021438598632812e+01
2.000000000000000000e+00,-9.324324607849121094e+00,-2.859063625335693359e+00,1.567243099212646484e+01,-1.157495498657226562e+01,-3.317547225952148438e+01,-5.601240921020507812e+01,-2.363713073730468750e+01,5.350409984588623047e+00,5.429586887359619141e+00,-6.578756332397460938e+00,7.029805183410644531e+00,-1.170162963867187500e+01,5.866370010375976562e+01,-9.130705833435058594e+00,-2.366050720214843750e+01
3.000000000000000000e+00,-4.289694309234619141e+00,2.093673706054687500e+01,1.405293464660644531e+01,-7.064069747924804688e+00,-2.179892349243164062e+01,-2.490802764892578125e+01,-4.317122650146484375e+01,4.465821075439453125e+01,1.018930816650390625e+01,1.549422550201416016e+01,2.795396995544433594e+01,2.871343231201171875e+01,2.755729675292968750e+01,-1.155218219757080078e+01,-1.192950248718261719e+01
4.000000000000000000e+00,1.413876438140869141e+01,7.550665855407714844e+00,5.533909320831298828e+00,6.211491584777832031e+00,-1.275067615509033203e+01,-1.763944816589355469e+01,-4.657588481903076172e+00,2.161086845397949219e+01,2.321230506896972656e+01,1.741175460815429688e+01,-7.690679550170898438e+00,-9.846527099609375000e+00,2.960379600524902344e+01,2.125145673751831055e+00,-3.434102249145507812e+01
5.000000000000000000e+00,-1.900898170471191406e+01,-3.676283359527587891e+00,7.893822789192199707e-01,-1.374847531318664551e+00,-2.379609823226928711e+00,-1.856009674072265625e+01,-2.051914978027343750e+01,1.717896842956542969e+01,-3.129059791564941406e+00,1.743602752685546875e+01,1.086893463134765625e+01,-2.791746616363525391e+00,1.868723678588867188e+01,-5.596525669097900391e+00,-1.238070678710937500e+01
6.000000000000000000e+00,-9.650876998901367188e+00,5.863570213317871094e+00,9.002072334289550781e+00,-7.284942150115966797e+00,-2.357187652587890625e+01,-5.083653640747070312e+01,-3.295038223266601562e+01,6.623459815979003906e+00,1.263143062591552734e+01,1.976441955566406250e+01,2.860459983348846436e-01,7.575493335723876953e+00,8.639736175537109375e+00,-5.522266387939453125e+00,3.377367019653320312e+00
7.000000000000000000e+00,-1.237922859191894531e+01,-4.868310928344726562e+00,1.477978610992431641e+01,-2.658709907531738281e+01,-2.638362121582031250e+01,-3.340986633300781250e+01,-3.199890136718750000e+01,3.043953895568847656e+01,6.440977573394775391e+00,7.184017658233642578e+00,1.400722861289978027e-01,1.619834136962890625e+01,2.261066627502441406e+01,-7.281035423278808594e+00,-1.290079307556152344e+01
8.000000000000000000e+00,1.788365244865417480e+00,-7.921724319458007812e+00,-1.049436283111572266e+01,-1.287776947021484375e+00,-6.180806159973144531e+00,-2.715912818908691406e+01,-2.043956184387207031e+01,1.361801338195800781e+01,1.557244396209716797e+01,8.030348777770996094e+00,1.079191970825195312e+01,-6.788218975067138672e+00,4.421879196166992188e+01,-5.160822391510009766e+00,-1.807430267333984375e+01
9.000000000000000000e+00,2.879794239997863770e-01,-5.413578987121582031e+00,-3.226866722106933594e+00,-1.365225887298583984e+01,-5.964710712432861328e-01,-1.162001037597656250e+01,-1.681273841857910156e+01,1.966176033020019531e+01,5.807969570159912109e+00,1.197503852844238281e+01,1.216994762420654297e+00,3.905258655548095703e+00,1.171790504455566406e+01,3.796937704086303711e+00,-6.868375092744827271e-02
1.000000000000000000e+01,-2.038633346557617188e+01,9.478717803955078125e+00,6.623887419700622559e-01,-2.512860870361328125e+01,-1.787281036376953125e+01,-1.856827545166015625e+01,-3.659723663330078125e+01,4.784050941467285156e+00,3.628311920166015625e+01,2.999930143356323242e+00,3.416296482086181641e+00,2.951663017272949219e+01,4.199258422851562500e+01,-1.692595124244689941e+00,-1.692495155334472656e+01
1.100000000000000000e+01,-3.265713453292846680e+00,-4.893126964569091797e+00,-1.368405914306640625e+01,1.030410766601562500e+01,-4.576398849487304688e+00,-2.199825286865234375e+01,7.611193656921386719e+00,2.164977836608886719e+01,-7.725907802581787109e+00,3.620076179504394531e+00,-4.641042709350585938e+00,-2.492379760742187500e+01,3.128902626037597656e+01,-8.315457701683044434e-01,-4.623727035522460938e+01
1.200000000000000000e+01,1.548923730850219727e+00,-3.964071035385131836e+00,-5.169145107269287109e+00,-1.054521656036376953e+01,-8.832971572875976562e+00,-3.016436958312988281e+01,-3.606785058975219727e+00,1.159205627441406250e+01,2.158190250396728516e+00,2.377373886108398438e+01,1.247041797637939453e+01,-1.737105727195739746e+00,2.525429153442382812e+01,-1.970456123352050781e+01,-1.264193630218505859e+01
